Source Language,Target Language,Request Body,Response Body
de,en,Und das handy ist 2 Monate alt,And the phone is 2 months old
sv,en,Som du kan se på bilden beställningen gjordes den 30 november,As you can see in the picture the order was placed on November 30th
sv,en,Som du kan se på bilden beställningen gjordes den 30 november,As you can see in the picture the order was placed on November 30th
sv,en,Som du kan se på bilden beställningen gjordes den 30 november,As you can see in the picture the order was placed on November 30th
de,en,Und dadurch hat der Akku meines samsung galaxy 24 Ultra jetzt auch einen knacks weg weil er jetzt schneller weg geht,"And because of this, the battery of my Samsung Galaxy 24 Ultra is now also a bit damaged because it is now draining faster"
de,en,Ich bräuchte den kühlschrank dringend da unser alter kaputt gegangen ist bitte um Verständnis,"I need the refrigerator urgently because our old one is broken, please understand"
de,en,Ich bräuchte den kühlschrank dringend da unser alter kaputt gegangen ist bitte um Verständnis,"I need the refrigerator urgently because our old one is broken, please understand"
en,de,"Hallo, welcome to Samsung. My name is Maria. I will now personally take care of your request. 🌺 ","Hallo, herzlich willkommen bei Samsung. Mein Name ist Maria. Ich werde mich jetzt persönlich um dein Anliegen kümmern. 🌺 "
de,en,"Ok, es kümmert sich gleich jemand um dich., <b>Aktueller Status:</b> <b>versendet</b>

<b>Bestellwert:</b>759,05 €

<b>Bestellte Artikel:</b>
65"" QLED 4K Q60D (2024) x 1

<b>Lieferadresse:</b>
Radochen, 62, Radochen, Straden, 8484, AT
, Meine Bestellung Verfolgen, Hallo und herzlich willkommen im Samsung Chat! Ich bin dein persönlicher Berater und ich freue mich, dich zu unterstützen. 
Wie kann ich dir helfen?","Okay, someone will take care of you shortly. <b>Current status:</b> <b>shipped</b> <b>Order value:</b> 759,05 € <b>Ordered items:</b> 65&quot; QLED 4K Q60D (2024) x 1 <b>Delivery address:</b> Radochen, 62, Radochen, Straden, 8484, AT
 Track My Order Hello and welcome to Samsung Chat! I am your personal advisor and I am happy to support you. How can I help you?"
pt,en,"<a target=""_self"" data-sn-type=""FACEBOOK"" href=""javascript:void(0);"" data-screen-id=""8939811142799745"" class=""autolink-url username text-[var--spr-link#0E61F6-sw] sw--fc"" data-entity=""screenName"" data-url=""https://facebook.com/8939811142799745"" data-mention-type=""user"">Angela Barrios</a> Que lo vas a comprar jsjsjsjsj","<a target=""_self"" data-sn-type=""FACEBOOK"" href=""javascript:void(0);"" data-screen-id=""8939811142799745"" class=""autolink-url username text-[var--spr-link#0E61F6-sw] sw--fc"" data-entity=""screenName"" data-url=""https://facebook.com/8939811142799745"" data-mention-type=""user"">Angela Barrios</a> What are you going to buy jsjsjsjsj"
en,de,Please tell me how I can help you. ,"Bitte sagen Sie mir, wie ich Ihnen helfen kann. "
sv,en,hur långt tid kommer det ta för det har nästan gått en vecka sen dom fick den,how long will it take because it&#39;s been almost a week since they received it
sv,en,hur långt tid kommer det ta för det har nästan gått en vecka sen dom fick den,how long will it take because it&#39;s been almost a week since they received it
es,en,"Hablando de cosas alegres, me acabo de pillar un switch cisco L3 con más años que yo para hacer prácticas CCNA. Ya sé que packet tracer es una maravilla, pero me puede el cacharreo.","Speaking of happy things, I just bought a Cisco L3 switch that is older than me to do CCNA practice. I know that packet tracer is amazing, but I can&#39;t get enough of the tinkering."
en,en,Mist,Mist
en,de,Thank you for contacting Samsung. Have a nice day ☀,"Vielen Dank, dass Sie Samsung kontaktiert haben. Ich wünsche Ihnen einen schönen Tag ☀"
en,de,"If you were satisfied with my help, I would appreciate if you could rate my services at the end of this chat with 9 or 10. It will take less than a minute of your time. ☀️","Wenn Sie mit meiner Hilfe zufrieden waren, würde ich mich freuen, wenn Sie meine Dienste am Ende dieses Chats mit 9 oder 10 bewerten könnten. Das wird weniger als eine Minute Ihrer Zeit in Anspruch nehmen. ☀️"
en,de,"Thank you for confirming that.
I will gladly check this for you, kindly allow me a moment :)
","Vielen Dank für die Bestätigung. Ich werde das gerne für Sie überprüfen. Bitte geben Sie mir einen Moment Zeit :)
"
fi,en,Kyllä,Yes
fi,en,Kyllä,Yes
und,de,😊 ,😊 
de,en,"Hallöchen, okay supi. Ich erkläre aber vielleicht nochmal genauer. Ich hatte ende Oktober ein Original Ladeadapter über Amazon bestellt und dieser ist defekt heute morgen den kompletten Strom in meinem Zimmer rausgehauen. Ich habe alles getestet was am Strom ist und es ist das Ladegerät","Hi, OK, great. But maybe I&#39;ll explain it in more detail. I ordered an original charging adapter from Amazon at the end of October and it was defective this morning and it knocked out all the power in my room. I&#39;ve tested everything that&#39;s connected to the power supply and it&#39;s the charger."
en,de,"Hello, welcome to Samsung. My name is Vjekoslav, I will now personally take care of your request.","Hallo, herzlich willkommen bei Samsung. Mein Name ist Vjekoslav, ich werde mich nun persönlich um Ihr Anliegen kümmern."
de,en,Ich dachte das Sie in ihrer Datenbank nach schauen könnten da ich auch den genauen Tag angegeben hab!?,I thought you could look in your database since I also specified the exact day!?
de,en,Ich dachte das Sie in ihrer Datenbank nach schauen könnten da ich auch den genauen Tag angegeben hab!?,I thought you could look in your database since I also specified the exact day!?
